MÉTRICAS POR CLUSTERS DE VECINDARIOS
==================================


Ciudad: Madrid
Cluster    MAE        MAPE (%)   Cantidad   Dist. Media    
1          11.84      18.60      203        76.90          
2          9.38       16.05      15         39.19          
3          8.21       13.53      10         84.47          
4          9.81       12.38      88         23.34          
5          8.54       10.56      25         51.77          
6          11.17      22.58      90         50.08          
7          8.53       12.08      42         90.63          
8          12.12      19.80      13         21.83          
9          8.81       17.21      20         61.65          
10         9.04       13.77      62         7.55           
11         8.49       19.95      9          30.69          
12         8.24       13.96      15         24.29          
13         8.57       11.56      38         34.59          
14         11.42      17.36      44         61.80          
15         7.41       10.16      9          78.39          
16         10.25      12.39      26         42.10          
17         9.14       12.35      59         12.79          
18         7.71       10.16      38         15.36          
19         3.38       6.97       7          42.66          
